movies,similar
House Party 2 (1991),Major League: Back to the Minors (1998);Senseless (1998);Dead Man on Campus (1998);Problem Child (1990);Problem Child 2 (1991);Police Academy 4: Citizens on Patrol (1987);Deuce Bigalow: Male Gigolo (1999);Porky's Revenge (1985);Beverly Hills Ninja (1997);How to Be a Player (1997)
Make Mine Music (1946),"Adventures of Ichabod and Mr. Toad, The (1949);Melody Time (1948);Saludos Amigos (1943);Great Mouse Detective, The (1986);Fun and Fancy Free (1947);Brave Little Toaster, The (1987);Rescuers, The (1977);Sesame Street Presents Follow That Bird (1985);Steamboat Willie (1928);Rescuers Down Under, The (1990)"
Melody Time (1948),"Make Mine Music (1946);Fun and Fancy Free (1947);Adventures of Ichabod and Mr. Toad, The (1949);Saludos Amigos (1943);Great Mouse Detective, The (1986);Three Caballeros, The (1945);Rescuers, The (1977);Sleeping Beauty (1959);Steamboat Willie (1928);Peter Pan (1953)"
Nekromantik (1987),"Beyond, The (E tu vivrai nel terrore - L'aldilà) (1981);Inferno (1980);Zombie (a.k.a. Zombie 2: The Dead Are Among Us) (Zombi 2) (1979);Opera (1987);I Spit on Your Grave (Day of the Woman) (1978);City of the Living Dead (a.k.a. Gates of Hell, The) (Paura nella città dei morti viventi) (1980);Tenebre (1982);Suspiria (1977);Hills Have Eyes, The (1977);Basket Case (1982)"
Rocketship X-M (1950),"Destination Moon (1950);Voyage to the Bottom of the Sea (1961);Fantastic Voyage (1966);It Came from Beneath the Sea (1955);It Came from Outer Space (1953);Earth vs. the Flying Saucers (1956);Time Machine, The (1960);Mole People, The (1956);When Worlds Collide (1951);Quatermass 2 (Enemy from Space) (1957)"
Shaft in Africa (1973),"Shaft (1971);Shaft's Big Score! (1972);Drunken Master (Jui kuen) (1978);Foxy Brown (1974);I Married A Strange Person! (1997);Six-String Samurai (1998);The Golden Voyage of Sinbad (1973);Surf Nazis Must Die (1987);Decline of Western Civilization Part II: The Metal Years, The (1988);Shakes the Clown (1992)"
Shaft's Big Score! (1972),"Thunderbolt and Lightfoot (1974);Extreme Prejudice (1987);Coogan's Bluff (1968);The Golden Voyage of Sinbad (1973);In Like Flint (1967);Death Wish (1974);Knightriders (1981);Breakheart Pass (1975);Goin' South (1978);Return of a Man Called Horse, The (1976)"
Croupier (1998),"With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000);Wonderland (1999);You Can Count on Me (2000);Startup.com (2001);Sexy Beast (2000);Joe Gould's Secret (2000);Claim, The (2000);Jesus' Son (1999);Anniversary Party, The (2001);Deep End, The (2001)"
"Kid, The (2000)","Family Man, The (2000);Legend of Bagger Vance, The (2000);Majestic, The (2001);Replacements, The (2000);Heartbreakers (2001);Hardball (2001);Angel Eyes (2001);Down to Earth (2001);Joe Somebody (2001);Snow Day (2000)"
Scary Movie (2000),"Scary Movie 2 (2001);Little Nicky (2000);Road Trip (2000);Dude, Where's My Car? (2000);Me, Myself & Irene (2000);Nutty Professor II: The Klumps (2000);Not Another Teen Movie (2001);Final Destination (2000);American Pie 2 (2001);Deuce Bigalow: Male Gigolo (1999)"
But I'm a Cheerleader (1999),"Hedwig and the Angry Inch (2000);Get Real (1998);Drop Dead Gorgeous (1999);Cecil B. DeMented (2000);Broken Hearts Club, The (2000);Psycho Beach Party (2000);Pumpkin (2002);Velvet Goldmine (1998);I'm the One That I Want (2000);Dangerous Lives of Altar Boys, The (2002)"
Shower (Xizao) (1999),"Color of Paradise, The (Rang-e khoda) (1999);Himalaya (Himalaya - l'enfance d'un chef) (1999);Butterfly (La lengua de las mariposas) (1999);Widow of St. Pierre, The (Veuve de Saint-Pierre, La) (2000);Cup, The (Phörpa) (1999);King of Masks, The (Bian Lian) (1996);East-West (Est-ouest) (1999);Divided We Fall (Musíme si pomáhat) (2000);Bread and Tulips (Pane e tulipani) (2000);Not One Less (Yi ge dou bu neng shao) (1999)"
Blow-Up (Blowup) (1966),"Fitzcarraldo (1982);Blow-Out (La grande bouffe) (1973);Long Goodbye, The (1973);If.... (1968);Trial, The (Procès, Le) (1962);Woman in the Dunes (Suna no onna) (1964);Badlands (1973);Cries and Whispers (Viskningar och rop) (1972);Jules and Jim (Jules et Jim) (1961);Battleship Potemkin (1925)"
"Pawnbroker, The (1964)","Hud (1963);On the Beach (1959);Elmer Gantry (1960);Days of Wine and Roses (1962);They Shoot Horses, Don't They? (1969);Two Women (Ciociara, La) (1960);Alfie (1966);Bound for Glory (1976);Seven Days in May (1964);Coming Home (1978)"
Groove (2000),"Waking the Dead (2000);Black and White (1999);Time Code (2000);Crime and Punishment in Suburbia (2000);Quills (2000);Girlfight (2000);Jesus' Son (1999);Bamboozled (2000);Yards, The (2000);Hamlet (2000)"
Footloose (1984),Beaches (1988);Can't Buy Me Love (1987);Mannequin (1987);Steel Magnolias (1989);Three Men and a Baby (1987);Shag (1989);Gross Anatomy (a.k.a. A Cut Above) (1989);Baby Boom (1987);Cocktail (1988);Look Who's Talking (1989)
Duel in the Sun (1946),"Cimarron (1931);Crimson Pirate, The (1952);Spiral Staircase, The (1946);Big Country, The (1958);Angel on My Shoulder (1946);Man from Laramie, The (1955);Man with the Golden Arm, The (1955);Strange Love of Martha Ivers, The (1946);Lonely Are the Brave (1962);Wings (1927)"
X-Men (2000),X2: X-Men United (2003);Spider-Man (2002);Charlie's Angels (2000);Spider-Man 2 (2004);Titan A.E. (2000);X-Men: The Last Stand (2006);Gladiator (2000);Shanghai Noon (2000);Unbreakable (2000);Mission: Impossible II (2000)
Chuck & Buck (2000),"Jesus' Son (1999);L.I.E. (2001);Eyes of Tammy Faye, The (2000);Anniversary Party, The (2001);Time Code (2000);Before Night Falls (2000);Urbania (2000);With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000);Joe Gould's Secret (2000);Wonderland (1999)"
"Five Senses, The (1999)","Wonderland (1999);Girl on the Bridge, The (Fille sur le pont, La) (1999);Under the Sand (2000);Terrorist, The (a.k.a. Malli) (Theeviravaathi) (1998);With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000);Affair of Love, An (Liaison pornographique, Une) (1999);Before Night Falls (2000);Felicia's Journey (1999);House of Mirth, The (2000);Beautiful People (1999)"
"Wisdom of Crocodiles, The (a.k.a. Immortality) (2000)","Center of the World, The (2001);Our Lady of the Assassins (Virgen de los sicarios, La) (2000);Intimacy (2000);Aberdeen (2000);Inside Deep Throat (2005);Singing Detective, The (2003);Heaven (2002);Claim, The (2000);Young Adam (2003);Oxygen (1999)"
"In Crowd, The (2000)","Watcher, The (2000);Domestic Disturbance (2001);Reindeer Games (2000);Don't Say a Word (2001);American Outlaws (2001);Skulls, The (2000);Loser (2000);Glass House, The (2001);Along Came a Spider (2001);Heartbreakers (2001)"
What Lies Beneath (2000),"Bless the Child (2000);Bone Collector, The (1999);Final Destination (2000);Brokedown Palace (1999);28 Days (2000);Skulls, The (2000);Frequency (2000);Scream 3 (2000);Stigmata (1999);Antitrust (2001)"
Pokémon the Movie 2000 (2000),"Digimon: The Movie (2000);Pokémon 3: The Movie (2001);Pokémon: The First Movie (1998);Pokemon 4 Ever (a.k.a. Pokémon 4: The Movie) (2002);Rugrats Go Wild! (2003);Pokémon Heroes (2003);Treasure Planet (2002);Extremely Goofy Movie, An (2000);Atlantis: The Lost Empire (2001);Brother Bear (2003)"
Anatomy of a Murder (1959),"Witness for the Prosecution (1957);Asphalt Jungle, The (1950);To Have and Have Not (1944);Man Who Shot Liberty Valance, The (1962);High Sierra (1941);Seven Days in May (1964);Sleuth (1972);Dark Passage (1947);And Then There Were None (1945);Postman Always Rings Twice, The (1946)"
Freejack (1992),Krull (1983);RoboCop 2 (1990);Cyborg (1989);Runaway (1984);Soldier (1998);Universal Soldier (1992);Highlander: Endgame (Highlander IV) (2000);Spawn (1997);Predator 2 (1990);Mad Max Beyond Thunderdome (1985)
H.O.T.S. (1979),"Private School (1983);My Chauffeur (1986);Burglar (1987);Hollywood Knights, The (1980);Poison Ivy (1992);Young Doctors in Love (1982);Porky's (1982);My Tutor (1983);Band of the Hand (1986);House Party (1990)"
Knightriders (1981),"Sinbad and the Eye of the Tiger (1977);The Golden Voyage of Sinbad (1973);Creature from the Black Lagoon, The (1954);Lair of the White Worm, The (1988);Gothic (1986);X: The Man with the X-Ray Eyes (1963);Fury, The (1978);Battle Beyond the Stars (1980);Class of Nuke 'Em High (1986);Masque of the Red Death, The (1964)"
Mackenna's Gold (1969),"Sea Wolves, The (1980);Fighting Seabees, The (1944);Devil's Brigade, The (1968);Bridge at Remagen, The (1969);Breakheart Pass (1975);Alamo, The (1960);Flying Tigers (1942);True Grit (1969);Force 10 from Navarone (1978);Alvarez Kelly (1966)"
Sinbad and the Eye of the Tiger (1977),"The Golden Voyage of Sinbad (1973);Dreamscape (1984);Knightriders (1981);Conquest of the Planet of the Apes (1972);Runaway (1984);King Kong vs. Godzilla (Kingukongu tai Gojira) (1962);Lifeforce (1985);Voyage to the Bottom of the Sea (1961);Alien Nation (1988);7th Voyage of Sinbad, The (1958)"
"Two Women (Ciociara, La) (1960)","Room at the Top (1959);Life of Emile Zola, The (1937);Pawnbroker, The (1964);Carmen (1984);Suddenly, Last Summer (1959);Place in the Sun, A (1951);Star Is Born, A (1937);Man with the Golden Arm, The (1955);Face in the Crowd, A (1957);Elmer Gantry (1960)"
What About Bob? (1991),"Grumpy Old Men (1993);Uncle Buck (1989);Great Outdoors, The (1988);Planes, Trains & Automobiles (1987);Dream Team, The (1989);Brewster's Millions (1985);Man Who Knew Too Little, The (1997);Scrooged (1988);Throw Momma from the Train (1987);City Slickers (1991)"
White Sands (1992),"Jennifer 8 (1992);Fourth Protocol, The (1987);Package, The (1989);January Man, The (1989);Bright Lights, Big City (1988);Best Seller (1987);Bad Influence (1990);China Moon (1994);Sharky's Machine (1981);Bat*21 (1988)"
Breaker Morant (1980),"Breaking Away (1979);Seven Days in May (1964);Pawnbroker, The (1964);Paper Chase, The (1973);Hud (1963);Hope and Glory (1987);Never Cry Wolf (1983);Coming Home (1978);On the Beach (1959);Shane (1953)"
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972),"Love and Death (1975);New York Stories (1989);Midsummer Night's Sex Comedy, A (1982);Interiors (1978);Lost in America (1985);World According to Garp, The (1982);Play It Again, Sam (1972);Alice (1990);Catch-22 (1970);Radio Days (1987)"
Interiors (1978),"Alice (1990);Husbands and Wives (1992);Another Woman (1988);Midsummer Night's Sex Comedy, A (1982);Lenny (1974);Love and Death (1975);King of Marvin Gardens, The (1972);Shadows and Fog (1991);New York Stories (1989);Dead, The (1987)"
Love and Death (1975),"Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972);Interiors (1978);Play It Again, Sam (1972);Broadway Danny Rose (1984);Husbands and Wives (1992);Crimes and Misdemeanors (1989);Take the Money and Run (1969);Alice (1990);Last Detail, The (1973);Zelig (1983)"
"Official Story, The (La historia oficial) (1985)","Camille Claudel (1988);Color of Paradise, The (Rang-e khoda) (1999);Last Metro, The (Dernier métro, Le) (1980);Into the Arms of Strangers: Stories of the Kindertransport (2000);Carmen (1984);Return of the Secaucus 7 (1980);Housekeeping (1987);Pelle the Conqueror (Pelle erobreren) (1987);Pixote (1981);Harmonists, The (1997)"
Tampopo (1985),"Brother from Another Planet, The (1984);42 Up (1998);Hope and Glory (1987);Jesus of Montreal (Jésus de Montréal) (1989);Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) (1988);Stop Making Sense (1984);She's Gotta Have It (1986);Bagdad Cafe (Out of Rosenheim) (1987);Matewan (1987);Man Facing Southeast (Hombre mirando al sudeste) (1986)"
Thomas and the Magic Railroad (2000),"102 Dalmatians (2000);Tigger Movie, The (2000);Incredible Mr. Limpet, The (1964);Return to Never Land (2002);Rugrats in Paris: The Movie (2000);Flubber (1997);King and I, The (1999);Shiloh (1997);Dudley Do-Right (1999);Borrowers, The (1997)"
Nutty Professor II: The Klumps (2000),"Big Momma's House (2000);Bedazzled (2000);Down to Earth (2001);Deuce Bigalow: Male Gigolo (1999);Blue Streak (1999);Ready to Rumble (2000);Replacements, The (2000);Tomcats (2001);What's the Worst That Could Happen? (2001);Next Friday (2000)"
"Girl on the Bridge, The (Fille sur le pont, La) (1999)","Affair of Love, An (Liaison pornographique, Une) (1999);Taste of Others, The (Le goût des autres) (2000);Under the Sand (2000);Five Senses, The (1999);Mifune's Last Song (Mifunes sidste sang) (1999);With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000);Wonderland (1999);Son's Room, The (Stanza del figlio, La) (2001);Solas (1999);Kandahar (Safar e Ghandehar) (2001)"
Wonderland (1999),"With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000);Jesus' Son (1999);Five Senses, The (1999);Before Night Falls (2000);Joe Gould's Secret (2000);Girl on the Bridge, The (Fille sur le pont, La) (1999);Croupier (1998);Time Code (2000);Felicia's Journey (1999);Under the Sand (2000)"
Autumn in New York (2000),"Here on Earth (2000);28 Days (2000);Next Best Thing, The (2000);Where the Heart Is (2000);Sweet November (2001);Bachelor, The (1999);Story of Us, The (1999);Random Hearts (1999);Original Sin (2001);Runaway Bride (1999)"
Coyote Ugly (2000),"Save the Last Dance (2001);Just Married (2003);Down to You (2000);Head Over Heels (2001);Wedding Planner, The (2001);Loser (2000);Boys and Girls (2000);Sweetest Thing, The (2002);Miss Congeniality (2000);Sweet November (2001)"
Hollow Man (2000),"6th Day, The (2000);Final Destination (2000);Bless the Child (2000);End of Days (1999);Red Planet (2000);Mission to Mars (2000);Urban Legends: Final Cut (2000);Deep Blue Sea (1999);Dracula 2000 (2000);Scream 3 (2000)"
Space Cowboys (2000),"6th Day, The (2000);Vertical Limit (2000);Art of War, The (2000);Legend of Bagger Vance, The (2000);U-571 (2000);Rules of Engagement (2000);Red Planet (2000);Shanghai Noon (2000);Kid, The (2000);Shaft (2000)"
Psycho Beach Party (2000),"Cecil B. DeMented (2000);Series 7: The Contenders (2001);Willard (2003);But I'm a Cheerleader (1999);Watcher in the Woods, The (1980);Shadow of the Vampire (2000);Lady in White (a.k.a. The Mystery of the Lady in White) (1988);Josie and the Pussycats (2001);Rock 'N' Roll High School (1979);Splendor (1999)"
Saving Grace (2000),"Nurse Betty (2000);What's Cooking? (2000);East is East (1999);Bossa Nova (2000);Tao of Steve, The (2000);Dish, The (2001);Big Tease, The (1999);State and Main (2000);Shipping News, The (2001);Greenfingers (2000)"
"Black Sabbath (Tre volti della paura, I) (1963)","Black Sunday (La maschera del demonio) (1960);Opera (1987);Martin (1977);Witchfinder General (Conquerer Worm, The) (1968);Devil Rides Out, The (1968);Crazies, The (a.k.a. Code Name: Trixie) (1973);Rabid (1977);Brood, The (1979);Hills Have Eyes, The (1977);Black Christmas (1974)"
"Brain That Wouldn't Die, The (1962)","Tingler, The (1959);Piranha (1978);Curse of Frankenstein, The (1957);Pit and the Pendulum, The (1961);Raven, The (1963);Blob, The (1958);Phantasm (1979);Tarantula (1955);Mummy, The (1959);Bride of Re-Animator (1990)"
Bronco Billy (1980),"Gardens of Stone (1987);Semi-Tough (1978);Billy Jack (1971);End, The (1978);Return of a Man Called Horse, The (1976);Continental Divide (1981);Moscow on the Hudson (1984);Murphy's Romance (1985);Fort Apache, the Bronx (1981);Nadine (1987)"
"Crush, The (1993)","Poison Ivy (1992);Hand That Rocks the Cradle, The (1992);Single White Female (1992);Hush (1998);Cool, Dry Place, A (1998);Unlawful Entry (1992);Seventh Sign, The (1988);Color of Night (1994);I Know What You Did Last Summer (1997);Never Talk to Strangers (1995)"
Kelly's Heroes (1970),"Guns of Navarone, The (1961);Eagle Has Landed, The (1976);Magnum Force (1973);Force 10 from Navarone (1978);Dirty Dozen, The (1967);Outlaw Josey Wales, The (1976);Hang 'Em High (1968);Tora! Tora! Tora! (1970);Devil's Brigade, The (1968);True Grit (1969)"
Phantasm II (1988),"Hellbound: Hellraiser II (1988);Texas Chainsaw Massacre 2, The (1986);Pumpkinhead (1988);Night of the Creeps (1986);Phantasm IV: Oblivion (1998);Hellraiser (1987);Halloween III: Season of the Witch (1982);C.H.U.D. (1984);Creepshow 2 (1987);Exorcist III, The (1990)"
Phantasm III: Lord of the Dead (1994),"Halloween III: Season of the Witch (1982);Phantasm II (1988);Puppet Master III: Toulon's Revenge (1991);Texas Chainsaw Massacre 2, The (1986);Leatherface: Texas Chainsaw Massacre III (1990);Pumpkinhead (1988);Hellraiser III: Hell on Earth (1992);Curse of the Puppet Master (Puppet Master 6: The Curse) (1998);Puppet Master (1989);Creepshow 2 (1987)"
Phantasm IV: Oblivion (1998),"Phantasm II (1988);Texas Chainsaw Massacre 2, The (1986);Pumpkinhead (1988);Hellbound: Hellraiser II (1988);Night of the Creeps (1986);Funhouse, The (1981);Leatherface: Texas Chainsaw Massacre III (1990);Puppet Master III: Toulon's Revenge (1991);Exorcist III, The (1990);Phantasm III: Lord of the Dead (1994)"
Pumpkinhead (1988),"Phantasm II (1988);Hellbound: Hellraiser II (1988);Creepshow 2 (1987);Gate, The (1987);Puppet Master (1989);Texas Chainsaw Massacre 2, The (1986);Halloween III: Season of the Witch (1982);Return of the Living Dead Part II (1988);Dark Half, The (1993);C.H.U.D. (1984)"
Air America (1990),F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion) (1991);Bird on a Wire (1990);Missing in Action (1984);Next of Kin (1989);Get Carter (2000);Another 48 Hrs. (1990);Missing in Action 2: The Beginning (1985);Harley Davidson and the Marlboro Man (1991);K-9 (1989);Navy Seals (1990)
Sleepaway Camp (1983),"Texas Chainsaw Massacre 2, The (1986);Phantasm II (1988);Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994);Hellbound: Hellraiser II (1988);Night of the Creeps (1986);Nightmare on Elm Street 3: Dream Warriors, A (1987);Creepshow 2 (1987);Pumpkinhead (1988);Halloween III: Season of the Witch (1982);Friday the 13th Part 3: 3D (1982)"
